plant_id,company_id,parentcomp_id,name,carbon_2000,carbon_2007,carbon_nextdecade,energy_2000,energy_2007,energy_nextdecade,intensity_2000,intensity_2007,intensity_nextdecade,continent,country,iso3,state,city_name,metroarea,county,congdist,zip,latitude,longitude
"52897","ENERTRAG ENERGIEBAU GMBH","0","NADRENSEE","0.0000","0.0000","0.0000","0.0000","75380.8594","75380.8594","0.0000","0.0000","0.0000","Europe","Germany","DEU","Mecklenburg-Vorpommern","Nadrensee","","","","0","53.33333","14.35"
"54164","ENERTRAG ENERGIEBAU GMBH","0","RANDOWHOHE","0.0000","0.0000","0.0000","0.0000","194830.5000","194830.5000","0.0000","0.0000","0.0000","Europe","Germany","DEU","Brandenburg","Randowhohe","","","","0","0","0"
"56161","ENERTRAG ENERGIEBAU GMBH","0","SONNENBERG","0.0000","0.0000","0.0000","0.0000","191351.4062","191351.4062","0.0000","0.0000","0.0000","Europe","Germany","DEU","Sachsen-Anhalt","Oschersleben","","","","0","52.03333","11.25"
"51674","ENERTRAG ENERGIEBAU GMBH","0","STORKOW","0.0000","0.0000","0.0000","0.0000","21744.4805","21744.4805","0.0000","0.0000","0.0000","Europe","Germany","DEU","Brandenburg","Storkow/Templin","","","","0","0","0"
"56323","ENERTRAG ENERGIEBAU GMBH","0","WOLFEN ENERTRAG","0.0000","0.0000","0.0000","0.0000","50737.1211","50737.1211","0.0000","0.0000","0.0000","Europe","Germany","DEU","Sachsen-Anhalt","Wolfen","","","","0","51.66667","12.28333"
"55720","WKE WINDKRAFTELEKTROENERGIE","0","RUBENAU WKE","0.0000","0.0000","0.0000","4819.4702","4928.7490","4928.7490","0.0000","0.0000","0.0000","Europe","Germany","DEU","Sachsen","Rubenau","","","","0","0","0"
"55695","ENOVA ENERGIESYSTEME","0","BUNDERHEE","0.0000","0.0000","0.0000","0.0000","60014.7695","60014.7695","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Bunderhee","","","","0","53.21667","7.3"
"57234","WESTWIND VERWALTUNGS GMBH","0","SULINGEN-OST","0.0000","0.0000","0.0000","0.0000","11597.0596","11597.0596","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Sulingen","","","","0","52.68333","8.8"
"56148","BURGERWINDPARK CAPPELN","0","CAPPELN","0.0000","0.0000","0.0000","2834.9819","2899.2639","2899.2639","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Cappeln","","","","0","52.81667","8.116667"
"53383","WINDPARK ESCHE GMBH & CO KG","0","ESCHE","0.0000","0.0000","0.0000","0.0000","20874.6992","20874.6992","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Esche","","","","0","52.53333","6.966667"
"57061","BURGERWINDPARK HAREN","0","HAREN","0.0000","0.0000","0.0000","0.0000","86977.9219","86977.9219","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Haren","","","","0","52.78333","7.233333"
"54174","WINDPARK TWIST","0","TWIST","0.0000","0.0000","0.0000","0.0000","78280.1328","78280.1328","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Twist","","","","0","52.63334","7.05"
"53409","WINDWARTS ENERGIE GMBH","0","WULLERSBLEN","0.0000","0.0000","0.0000","0.0000","16235.8799","16235.8799","0.0000","0.0000","0.0000","Europe","Germany","DEU","Thuringen","Wullersblen","","","","0","0","0"
"57239","WINDWARTS ENERGIE GMBH","0","ALTBOKHORST WINDWARTS","0.0000","0.0000","0.0000","0.0000","15656.0303","15656.0303","0.0000","0.0000","0.0000","Europe","Germany","DEU","Schleswig-Holstein","Altbokhorst","","","","0","54.1","10.13333"
"55122","WINDWARTS ENERGIE GMBH","0","DEISTERWIND","0.0000","0.0000","0.0000","0.0000","13046.6904","13046.6904","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","0","","","","0","0","0"
"52561","WINDWARTS ENERGIE GMBH","0","SCHOLEN WINDWARTS","0.0000","0.0000","0.0000","0.0000","36530.7305","36530.7305","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Scholen","","","","0","52.73333","8.766666"
"56693","WINDWARTS ENERGIE GMBH","0","GEHRDEN","0.0000","0.0000","0.0000","0.0000","28992.6406","28992.6406","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Gehrden","","","","0","52.31667","9.6"
"54245","WINDWARTS ENERGIE GMBH","0","OTTENDORF CAMP","0.0000","0.0000","0.0000","0.0000","1739.5580","1739.5580","0.0000","0.0000","0.0000","Europe","Germany","DEU","Brandenburg","Ottendorf","","","","0","51.85","14.41667"
"54782","WINDWARTS ENERGIE GMBH","0","EXTERTAL WINDWARTS","0.0000","0.0000","0.0000","0.0000","5798.5278","5798.5278","0.0000","0.0000","0.0000","Europe","Germany","DEU","Nordrhein-Westfalen","Extertal","","","","0","0","0"
"51478","GREENTECH ENERGY SYSTEMS A/S","0","TIEFENTHAL-2","0.0000","0.0000","0.0000","0.0000","17395.5801","17395.5801","0.0000","0.0000","0.0000","Europe","Germany","DEU","Rheinland-Pfalz","Tiefenthal","","","","0","49.53861","8.103889"
