sp.ID time endTime t.ID station_european_code PM10 x y 
DEBW031 2005-06-01 2005-06-02 5266 DEBW031 14.292 7.7643499999999985 47.8084690022586540
DEBW031.1 2005-06-01 2005-06-02 5266 DEBW031 15 7.7644810689407517 47.8085172754588610
DEBW087 2005-06-01 2005-06-02 5266 DEBW087 20.5 9.2077469999999995 48.3454020023144370
DEBW087.1 2005-06-01 2005-06-02 5266 DEBW087 19 9.2078332777978300 48.3454842027857620
DENW064 2005-06-01 2005-06-02 5266 DENW064 15.042 6.2810700000000015 50.6532360022693600
DENW068 2005-06-01 2005-06-02 5266 DENW068 13.783 8.1480609999999984 51.5706600021302040
DENI019 2005-06-01 2005-06-02 5266 DENI019 10.833 9.5777140000000003 51.7597500020935190
DEBB066 2005-06-01 2005-06-02 5266 DEBB066 11.667 14.0570640000000040 51.8975980020651520
DEBY072 2005-06-01 2005-06-02 5266 DEBY072 13.542 12.5488699999999990 49.4384650023494670
DEST098 2005-06-01 2005-06-02 5266 DEST098 11.333 11.0433829999999970 51.6624520021127440
DEUB005 2005-06-01 2005-06-02 5266 DEUB005 11.542 10.7567329999999950 52.8007700018451870
DEUB005.1 2005-06-01 2005-06-02 5266 DEUB005 9 10.7568529225801230 52.8008507098599080
DEHE051 2005-06-01 2005-06-02 5266 DEHE051 12.652 9.9358619999999984 50.4977110022863800
DEBW030 2005-06-01 2005-06-02 5266 DEBW030 14.792 9.5730159999999991 48.8844870023447130
DEBW030.1 2005-06-01 2005-06-02 5266 DEBW030 15 9.5730949828509910 48.8845377239942490
DENI060 2005-06-01 2005-06-02 5266 DENI060 13.333 11.1670500000000030 52.9570200018014110
DERP015 2005-06-01 2005-06-02 5266 DERP015 13.833 6.3806220000000016 50.2663190023080800
DEUB001 2005-06-01 2005-06-02 5266 DEUB001 15.125 8.3082080000000094 54.9249690011186400
DEUB001.1 2005-06-01 2005-06-02 5266 DEUB001 14 8.3083051706363769 54.9250363042573970
DERP016 2005-06-01 2005-06-02 5266 DERP016 12.75 7.9727170000000029 50.7667500022557120
DERP028 2005-06-01 2005-06-02 5266 DERP028 13.125 7.7324560000000035 50.4245680022937040
DERP013 2005-06-01 2005-06-02 5266 DERP013 18.25 7.2935220000000029 49.4231380023496880
DEHE024 2005-06-01 2005-06-02 5266 DEHE024 7.917 9.7745890000000042 51.2917570021793740
DENI051 2005-06-01 2005-06-02 5266 DENI051 8.792 10.6124800000000070 51.7581600020938520
DEST089 2005-06-01 2005-06-02 5266 DEST089 11.348 11.1723500000000000 52.5931690019008190
DEUB028 2005-06-01 2005-06-02 5266 DEUB028 15.167 12.7219379999999940 54.4369850013092250
DEUB028.1 2005-06-01 2005-06-02 5266 DEUB028 12 12.7220496166098640 54.4370684133207450
DK0041A 2005-06-01 2005-06-02 5266 DK0041A 14.8 12.1186110000000000 55.6944470007928980
ES0007R 2005-06-01 2005-06-02 5266 ES0007R 34 -3.5341670000000041 37.2372219960043720
ES0008R 2005-06-01 2005-06-02 5266 ES0008R 13 -4.8500000000000041 43.4391670008259110
ES0009R 2005-06-01 2005-06-02 5266 ES0009R 19 -3.1425000000000032 41.2741669994798390
ES0010R 2005-06-01 2005-06-02 5266 ES0010R 14 3.3158330000000000 42.3191670001797680
ES0011R 2005-06-01 2005-06-02 5266 ES0011R 23 -6.9236110000000028 38.4733329971844780
ES0012R 2005-06-01 2005-06-02 5266 ES0012R 16 -1.1000000000000016 39.0833329977321570
ES0013R 2005-06-01 2005-06-02 5266 ES0013R 13 -5.8974999999999991 41.2388889994546370
ES0014R 2005-06-01 2005-06-02 5266 ES0014R 20 0.7347219999999969 41.3938889995646660
ES0015R 2005-06-01 2005-06-02 5266 ES0015R 26 -4.3530580000000016 39.5211109981096630
ES0016R 2005-06-01 2005-06-02 5266 ES0016R 12 -7.7047219999999959 42.6347220003729250
ES1488A 2005-06-01 2005-06-02 5266 ES1488A 12.542 -2.5013890000000027 42.6533330003840590
ES1489A 2005-06-01 2005-06-02 5266 ES1489A 13.167 -3.2313890000000018 42.8752780005143560
ES1491A 2005-06-01 2005-06-02 5266 ES1491A 11.958 -2.7038889999999998 43.4061110008084300
ES1599A 2005-06-01 2005-06-02 5266 ES1599A 11.958 -2.1550000000000029 43.2505560007248350
ES1614A 2005-06-01 2005-06-02 5266 ES1614A 35.592 -4.2041690000000003 40.3791659988096750
ES1616A 2005-06-01 2005-06-02 5266 ES1616A 14.274 -5.9397220000000068 39.8491669983837080
ES1654A 2005-06-01 2005-06-02 5266 ES1654A 33.5 -5.6663889999999997 37.9966669967400820
ES1660A 2005-06-01 2005-06-02 5266 ES1660A 18.583 -1.5855559999999991 42.2083330001099240
ES1661A 2005-06-01 2005-06-02 5266 ES1661A 25.792 -1.6269440000000031 42.0747220000242950
ES1662A 2005-06-01 2005-06-02 5266 ES1662A 30.583 -1.8083330000000040 42.3083340001730120
ES1716A 2005-06-01 2005-06-02 5266 ES1716A 22.542 -6.4400060000000048 37.2849999960515820
FI00351 2005-06-01 2005-06-02 5266 FI00351 3.862 27.6713909999999750 60.5261119982636660
FR18039 2005-06-01 2005-06-02 5266 FR18039 10 1.6116670000000044 50.1294440023188630
FR18034 2005-06-01 2005-06-02 5266 FR18034 15 2.3397280000000036 49.7266650023415830
FR33120 2005-06-01 2005-06-02 5266 FR33120 19 6.8700000000000001 45.9225000018553900
FR01004 2005-06-01 2005-06-02 5266 FR01004 19 6.2716640000000003 49.3324720023506060
FR20045 2005-06-01 2005-06-02 5266 FR20045 15 4.9805449999999984 45.7318080017964020
FR10014 2005-06-01 2005-06-02 5266 FR10014 11 2.1430640000000039 50.9816670022270770
FR21019 2005-06-01 2005-06-02 5266 FR21019 10 -0.3527780000000007 49.1516670023503220
FR30033 2005-06-01 2005-06-02 5266 FR30033 19 5.7855560000000015 49.0658060023491980
FR02005 2005-06-01 2005-06-02 5266 FR02005 25 5.0644439999999964 43.4050000008078460
FR18019 2005-06-01 2005-06-02 5266 FR18019 17 2.4827780000000033 49.2763890023508110
FR34043 2005-06-01 2005-06-02 5266 FR34043 16 1.9559529999999985 48.3904440023179490
FR25045 2005-06-01 2005-06-02 5266 FR25045 9 0.9571779999999983 49.9163610023325360
FR35006 2005-06-01 2005-06-02 5266 FR35006 13 1.7600000000000002 45.2600000016360510
FR04328 2005-06-01 2005-06-02 5266 FR04328 13 2.6466670000000021 48.3544440023151840
GB0036R 2005-06-01 2005-06-02 5266 GB0036R 13.542 -1.3266750000000029 51.5711100021301260
GB0006R 2005-06-01 2005-06-02 5266 GB0006R 7.75 -7.8989019999999890 54.4394450013083070
GB0617A 2005-06-01 2005-06-02 5266 GB0617A 17.708 0.6344560000000009 51.4552800021513190
IT1672A 2005-06-01 2005-06-02 5266 IT1672A 7 10.4302780000000050 44.2997220012464650
IT1179A 2005-06-01 2005-06-02 5266 IT1179A 16 11.9611110000000040 44.8397220014759630
IT1646A 2005-06-01 2005-06-02 5266 IT1646A NA 9.7138890000000000 45.8519440018339420
IT1121A 2005-06-01 2005-06-02 5266 IT1121A 28 7.5600000000000005 45.1755560016052020
IT1343A 2005-06-01 2005-06-02 5266 IT1343A 18 10.9122220000000030 45.4625020017073920
NL00918 2005-06-01 2005-06-02 5266 NL00918 19.841 5.5738949999999985 52.9180560018124590
NL00818 2005-06-01 2005-06-02 5266 NL00818 20.148 6.0180699999999998 52.6550030018845310
NL00631 2005-06-01 2005-06-02 5266 NL00631 16.204 5.6194470000000027 52.4494440019375720
NL00230 2005-06-01 2005-06-02 5266 NL00230 22.507 5.1489020000000005 51.5194440021397000
